UserID,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37
1,5,2,5,2,2,2,2,6,7,5,5,6,2,4,7,7,1,3,3,1,7,5,6,7,7,6,7,6,7,7,6,6,7,1,6,6,6
2,3,1,1,1,1,1,2,3,3,5,5,5,1,2,4,6,3,1,1,1,4,2,6,5,3,6,5,3,3,3,4,4,3,2,5,5,4
3,3,1,1,1,1,2,2,3,5,7,5,5,1,4,5,7,2,1,3,1,5,2,7,5,3,3,3,5,3,1,3,2,5,2,3,3,5
4,2,1,4,1,1,1,5,7,7,7,5,5,2,4,7,7,1,1,3,1,7,4,1,7,6,4,7,7,5,4,7,6,5,1,5,7,6
5,3,2,5,2,5,3,4,3,3,2,3,3,5,2,6,3,3,5,4,4,3,2,2,4,6,3,4,3,2,2,3,2,2,2,2,3,2
6,2,1,1,1,1,1,1,7,7,7,4,4,1,1,6,7,1,1,5,1,6,1,7,5,3,7,5,4,7,3,5,5,4,2,6,7,7
7,2,1,1,2,1,1,2,5,5,6,6,3,1,6,6,7,2,1,1,1,3,3,6,2,6,6,4,7,6,4,6,3,6,1,2,5,4
8,2,1,2,2,1,1,3,4,4,6,6,3,1,1,5,7,1,1,3,6,4,1,6,4,5,7,5,5,5,4,5,5,4,1,5,6,4
9,3,4,7,7,1,2,3,2,1,5,2,1,3,4,5,5,6,3,3,4,2,3,2,1,4,5,3,5,6,4,6,7,5,4,5,5,4
10,3,1,3,2,1,1,2,4,4,7,3,5,1,2,5,6,2,1,4,1,5,1,6,5,4,4,4,4,5,4,5,5,4,3,5,5,5
11,2,1,1,1,1,1,2,5,6,6,6,6,1,6,6,7,1,1,2,1,6,2,7,6,6,6,6,7,6,4,6,6,6,1,6,7,7
12,4,1,4,1,4,1,4,4,4,4,4,6,4,4,6,7,4,4,6,1,4,1,7,4,4,4,4,7,4,4,4,4,5,1,4,4,4
13,4,4,6,5,2,1,5,2,2,4,1,3,2,5,4,7,5,4,4,3,4,4,4,3,3,5,4,4,5,3,5,5,4,3,5,5,3
14,6,4,1,7,1,1,7,6,1,5,6,6,1,3,3,7,4,1,7,1,7,7,1,6,1,7,6,1,6,2,6,1,1,7,6,6,1
15,4,6,7,3,2,2,1,3,2,2,1,1,4,5,4,6,5,3,5,3,3,2,5,1,1,7,4,2,6,7,6,5,4,3,6,6,4
16,4,1,1,1,1,1,2,6,7,7,2,6,1,5,4,7,2,1,5,7,6,5,7,7,6,7,6,5,7,4,7,6,6,2,6,7,6
17,3,1,1,1,1,1,2,4,5,7,7,7,1,1,3,7,2,1,5,1,5,1,7,6,5,3,4,5,5,3,5,3,4,2,4,5,4
18,3,1,1,1,1,1,2,5,5,7,4,6,1,2,2,1,5,1,5,1,4,1,7,4,6,3,4,7,2,4,3,3,7,1,6,2,7
19,1,4,1,7,1,1,5,7,7,7,7,4,1,7,7,7,1,1,1,5,7,7,4,4,4,7,7,3,7,2,6,5,2,7,7,7,4
21,3,1,2,1,2,1,2,3,2,3,3,4,1,1,1,1,2,3,3,3,3,3,3,3,4,4,2,2,2,2,3,3,3,3,3,3,4
22,2,4,1,2,1,1,1,6,5,5,4,4,2,4,6,7,1,1,1,1,5,2,5,5,6,7,6,7,5,4,6,6,6,1,6,5,6
23,4,1,2,1,1,1,1,6,7,6,1,7,1,2,4,7,4,1,6,1,5,1,5,5,4,3,2,6,2,1,4,1,4,1,1,4,4
24,1,7,7,4,7,6,1,7,3,1,1,5,7,1,5,1,5,7,7,1,3,1,6,7,2,7,7,1,6,1,4,2,1,4,6,7,3
25,2,1,1,1,1,1,2,7,7,7,7,7,1,6,7,7,1,1,2,2,7,3,7,7,5,7,7,6,7,6,7,7,6,2,7,7,6
26,3,5,4,2,2,3,5,5,4,6,5,6,4,5,4,7,2,3,2,2,5,6,4,5,2,4,2,1,3,1,4,2,1,6,3,4,1
27,2,1,5,3,4,1,6,1,1,2,3,7,3,1,1,7,7,4,7,4,1,1,7,1,1,4,1,1,4,1,4,1,1,7,3,6,4
28,1,1,1,1,1,1,1,2,2,1,1,1,1,4,7,7,1,1,5,1,2,5,7,1,1,7,1,4,7,5,4,5,4,5,5,5,5
29,7,1,1,1,1,1,1,4,5,7,3,6,2,1,6,7,1,1,6,1,4,1,1,5,5,3,4,7,3,4,3,3,5,1,3,3,5
30,2,1,1,1,1,1,2,6,6,5,7,7,1,5,5,7,2,1,2,1,6,4,1,5,4,7,6,5,6,4,6,6,4,3,6,6,5
31,6,6,7,4,5,5,2,3,2,2,3,2,6,4,3,4,7,2,5,6,2,5,5,3,2,5,3,1,6,1,5,5,2,4,5,6,3
32,2,2,4,2,2,2,5,5,3,5,5,3,3,4,6,6,4,2,6,3,2,4,4,5,3,3,2,7,4,4,5,4,3,3,3,4,4
33,4,4,1,3,1,3,2,6,5,5,7,6,2,2,3,7,2,2,2,2,6,2,6,6,3,4,6,3,4,1,5,1,2,3,2,6,1
34,5,2,1,4,1,1,1,6,5,7,4,6,1,2,6,7,6,1,4,1,5,2,6,6,6,7,7,6,5,4,6,6,6,1,5,6,7
35,3,1,1,1,1,1,2,3,3,6,3,3,2,2,2,7,6,1,2,1,3,2,2,3,3,1,4,2,2,2,3,3,2,2,2,3,3
36,7,1,1,2,1,1,3,5,6,7,6,6,1,1,6,7,2,1,1,1,6,2,6,6,7,5,4,7,5,7,5,5,7,1,5,5,7
37,4,2,1,1,1,1,2,4,3,7,5,4,1,2,2,7,2,1,5,1,4,2,5,4,5,3,2,4,4,3,4,3,4,2,3,3,3
38,4,2,1,4,1,1,7,7,7,7,4,6,1,6,6,7,1,1,3,1,6,4,5,7,3,6,4,5,6,1,5,4,2,3,6,6,5
39,5,2,7,2,7,1,5,4,3,1,5,3,6,4,5,4,1,4,4,5,3,1,7,4,5,5,5,4,7,4,7,7,4,1,7,5,4
40,4,1,1,1,1,1,2,5,5,7,5,7,1,3,7,7,2,1,2,1,5,1,7,5,6,6,6,7,7,5,6,7,7,1,7,7,7
41,7,2,1,1,1,1,3,4,5,5,3,6,1,5,7,6,3,3,2,2,5,3,5,5,4,6,6,4,5,3,5,4,5,3,5,4,5
42,3,1,2,1,2,1,2,3,2,3,3,4,1,1,1,1,2,3,3,3,3,3,3,3,4,4,2,2,2,2,3,3,3,3,3,3,4
43,4,1,1,2,1,1,2,6,6,7,7,7,1,4,6,6,1,1,2,1,7,7,7,7,6,7,6,6,6,6,6,6,5,3,6,6,7
44,6,1,3,1,1,1,4,2,4,6,3,5,3,1,6,5,5,1,5,1,3,1,7,4,7,5,5,7,5,7,5,5,7,1,1,4,5
45,2,1,1,2,1,1,3,4,4,4,4,5,1,1,3,4,3,1,6,1,4,1,7,4,4,3,5,4,3,1,4,3,4,1,2,6,3
46,4,1,1,1,1,1,2,6,6,7,6,5,1,3,7,7,1,1,5,1,5,1,1,7,6,6,6,5,7,5,7,5,6,1,7,7,6
47,4,1,1,1,1,1,1,7,7,7,7,7,1,2,6,7,1,2,2,1,7,2,7,7,5,7,6,5,7,4,7,7,6,1,7,7,6
48,4,1,1,1,1,1,2,3,7,7,3,7,1,2,6,7,4,1,4,1,6,1,7,7,7,7,6,7,7,4,6,6,7,1,7,5,7
49,4,3,1,2,1,2,5,2,3,4,1,2,1,2,6,6,4,1,4,1,2,3,4,2,4,1,2,5,2,4,2,1,4,2,2,2,5
50,2,1,1,1,1,1,2,5,5,7,7,7,1,6,7,7,1,1,2,1,6,6,7,6,6,5,7,6,6,4,7,5,6,2,6,6,7
